name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/11/2018, 0.0038967133, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180610T230725Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/23/2018, 0.0064816475, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180622T230726Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/05/2018, 0.0027213097, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180704T230726Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/17/2018, 0.007830143, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180716T230727Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/29/2018, -0.0118947029, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180728T230728Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/10/2018, 0.0036716461, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180809T230729Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/22/2018, 0.007171154, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180821T230729Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/03/2018, 0.000524044, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180902T230730Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/27/2018, 0.0078721046, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20180926T230731Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/09/2018, 0.0080943108, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20181008T230731Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/21/2018, 0.0040707588, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20181020T230731Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/02/2018, 0.006834507, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20181101T230731Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/14/2018, 0.0014992952, OPERA_L3_DISP-S1_IW_F00836_VV_20180505T230723Z_20181113T230731Z_v1.0_20250830T091623Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/26/2018, 0.0004013777, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20181125T230730Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 03/26/2019, -0.0013498068, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190325T230728Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/07/2019, 0.0010755062, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190406T230728Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/19/2019, 0.0038167238, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190418T230728Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/01/2019, 0.002835393, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190430T230729Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/13/2019, 0.0024899244, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190512T230729Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/06/2019, 0.0043050051, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190605T230731Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/18/2019, 0.0054913759, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190617T230731Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/30/2019, 0.0131970644, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190629T230732Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/12/2019, 0.004653573, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190711T230733Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/24/2019, 0.0150891542, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190723T230734Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/05/2019, 0.0081673861, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190804T230734Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/17/2019, 0.0142937899, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190816T230735Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/29/2019, 0.0103398561, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190828T230736Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/10/2019, 0.0034338236, OPERA_L3_DISP-S1_IW_F00836_VV_20181113T230731Z_20190909T230736Z_v1.0_20250830T184234Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/22/2019, -0.0042108297, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20190921T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/04/2019, -0.0048898458, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20191003T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/16/2019, 0.0032225549, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20191015T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/28/2019, 0.0044778585, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20191027T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/09/2019, 0.0030714869, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20191108T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/21/2019, 0.0049260855, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20191120T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/01/2020, 0.0013147593, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200331T230734Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/13/2020, -0.0039485693, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200412T230735Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/25/2020, 0.0040740967, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200424T230735Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/07/2020, 0.0057350397, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200506T230735Z_v1.0_20250831T005427Z.nc
