date,displacement_mm,displacement_lo_mm,displacement_hi_mm,n_points,smoothed_mm,velocity_mm_per_day,changepoint,velocity_risk_z,cum_settlement_mm,risk_score
2020-04-01,2.6484728,2.0834208000000003,3.2663344999999997,43,-0.21219254999999992,0.0,False,0.05610232934401061,0.0,0.0364665140736069
2020-04-13,-3.0728579,-3.9485693000000004,-2.3391247,51,2.6484728,0.23838877916666665,False,-1.9021539541098456,2.8606653499999997,-1.1112459611088998
2020-04-25,4.9979687,4.0736198,5.5776834,51,4.9979687,0.19579132500000004,False,-1.5522350838819279,5.2101612500000005,-0.7810082498357532
2020-05-07,5.9971809,5.4653585,6.8526268,51,4.9979687,0.0,False,0.05610232934401061,5.2101612500000005,0.26441106876110687
2020-05-19,3.9997399000000002,2.8790514999999997,4.7923923,51,5.9971809,0.0832676833333333,False,-0.6279041271098177,6.20937345,-0.1364775941838815
2020-05-31,9.511947600000001,7.9939960999999995,10.5507374,51,3.9997399000000002,-0.16645341666666666,False,1.423442059969389,4.21193245,1.1095093836676029
2020-06-12,3.3221244999999997,1.87288225,4.0696263,46,8.2988739,0.3582611666666667,False,-2.886851542876699,8.51106645,-1.5040943456823546
2020-06-24,8.2988739,7.7773333,9.1638565,43,5.9416294,-0.19643704166666667,False,1.6697440137032258,6.15382195,1.3545633192195967
2020-07-06,5.9416294,5.4959058999999995,6.4134598,35,8.0019236,0.1716911833333333,False,-1.3542632916866126,8.214116149999999,-0.5209035580337983
2020-07-18,8.0019236,6.6732764,9.0938807,51,8.0019236,0.0,False,0.05610232934401061,8.214116149999999,0.39583409563610683
2020-07-30,13.8912201,13.043284400000001,14.0230656,40,8.0019236,0.0,False,0.05610232934401061,8.214116149999999,0.39583409563610683
2020-08-11,5.2658319,4.6391487,6.1047524,51,9.9771023,0.16459822500000007,False,-1.2959978386183906,10.18929485,-0.39661694541445397
2020-08-23,9.9771023,7.909744999999999,10.6993914,46,8.065938899999999,-0.15926361666666677,False,1.3643810962948664,8.278131449999998,1.249015963529163
2020-09-04,8.065938899999999,5.5856407,9.3436241,51,8.255720100000001,0.015815100000000193,False,-0.07381158294965125,8.46791265,0.3224936495202267
2020-09-16,8.255720100000001,6.8711638,9.9322796,46,8.065938899999999,-0.015815100000000193,False,0.1860162416376725,8.278131449999998,0.483078808001987
2020-09-28,7.6674223,6.0581565,8.1520081,51,7.6674223,-0.033209716666666576,False,0.3289051708265577,7.87961485,0.5585215107247625
2020-10-10,7.332325,6.09106122,7.7412128000000004,48,7.332325,-0.027924775000000013,False,0.2854917590769999,7.54451755,0.5156422862125499
2020-10-22,6.48251175,4.8184097,6.9770813,46,6.7967176,-0.04463395,False,0.42275009417759485,7.00891015,0.5814273802779366
2020-11-03,6.7967176,3.9473772,7.5864196,51,6.7967176,0.0,False,0.05610232934401061,7.00891015,0.3431063331361069
2020-11-15,6.8171024000000005,5.776703400000001,8.90917778000001,43,6.7967176,0.0,False,0.05610232934401061,7.00891015,0.3431063331361069
2020-11-27,6.7471266000000005,6.0389042,6.948328020000001,38,6.7471266000000005,-0.004132583333333291,False,0.09004963721515297,6.959319150000001,0.36300247700234944
2021-03-27,1.8526316,0.3100634,3.0851364000000046,43,6.0950518,-0.005433956666666669,False,0.10073983209776394,6.30724435,0.3414228311760466
2021-04-20,6.0950518,5.036771300000001,6.32882116,35,6.062448,-0.0013584916666666835,False,0.06726172556882133,6.27464055,0.31823564568223384
2021-05-02,6.062448,5.1695704000000005,6.588458999999999,38,6.0950518,0.002716983333333367,False,0.03378353689438919,6.30724435,0.297901239293853
2021-05-26,7.165432,3.9863883999999996,8.0973506,51,7.165432,0.04459917499999999,True,-0.3102597745516084,7.37762455,0.12110222060395451
2021-06-07,9.9379718,7.9005063,11.2234056,51,7.165432,0.0,False,0.05610232934401061,7.37762455,0.3592375881361069
2021-06-19,6.8180263000000005,5.2964985,7.869332999999999,51,9.9379718,0.23104498333333331,False,-1.8418279841321523,10.150164349999999,-0.7531184993733993
2021-07-13,11.254042400000001,8.857995299999999,12.5833452,51,6.8180263000000005,-0.12999772916666663,False,1.123975032351474,7.030218850000001,1.038155845715958
2021-08-06,3.8652420000000003,0.1051798,5.1513612,51,11.254042400000001,0.1848340041666667,False,-1.4622256360937278,11.46623495,-0.4487988843984231
2021-08-18,11.993139999999999,10.602653,12.3227239,43,11.993139999999999,0.06159146666666645,False,-0.44984378535467645,12.205332549999998,0.24158483858196017
2021-08-30,13.4083927,11.9454265,14.9844289,51,11.993139999999999,0.0,False,0.05610232934401061,12.205332549999998,0.5704498131361068
2021-09-11,7.6068491,6.1390698,9.0298057,51,13.4083927,0.11793772500000015,False,-0.9127028797133994,13.62058525,0.002643732873790383
2021-09-23,14.2142475,12.2168362,17.04368,51,8.6877346,-0.39338817499999995,False,3.287608729196877,8.89992715,2.5263174867904703
2021-10-05,8.6877346,6.125126,9.0845227,46,9.0481937,0.030038258333333328,False,-0.19064841257801177,9.26038625,0.28122043026179233
2021-10-17,9.0481937,7.122606,9.737432,51,8.6877346,-0.030038258333333328,False,0.30285307126603295,8.89992715,0.5862263091354214
2021-10-29,6.5281689,5.8214961999999995,7.7473521000000005,51,8.12685485,-0.04673997916666665,False,0.4400501737500428,8.3390474,0.6508659366875278
2021-11-10,8.12685485,6.6120327,9.438097449999999,46,8.12685485,0.0,False,0.05610232934401061,8.3390474,0.4012998378236069
2021-11-22,8.151590800000001,7.1842074,8.4750056,35,8.151590800000001,0.002061329166666681,False,0.039169440107350774,8.36378335,0.391375657632278
2022-04-15,9.6432865,7.75910246,10.876274080000007,48,8.151590800000001,0.0,False,0.05610232934401061,8.36378335,0.4023820356361069
2022-04-27,2.3600757,0.10970980000000001,3.3114552,51,6.1991214999999995,-0.16270577500000014,False,1.39265687424237,6.41131405,1.1857219579450404
2022-05-09,6.1991214999999995,3.1683743,6.8396926,51,5.9449077,-0.0211844833333333,False,0.2301233035871814,6.15710025,0.4189532832691679
2022-06-26,5.9449077,5.179271099999999,7.2769523000000005,51,6.1991214999999995,0.005296120833333325,False,0.01259708578321792,6.41131405,0.2886830954465916
2022-07-20,12.6455426,10.9823048,13.6999488,51,11.5351081,0.22233277500000004,False,-1.770261122759113,11.74730065,-0.6367253263559235
2022-08-01,11.5351081,8.1311464,12.4382973,51,11.5351081,0.0,False,0.05610232934401061,11.74730065,0.5504109175111068
2022-08-13,10.7702911,9.7400546,13.086414360000006,43,10.7702911,-0.06373475000000006,False,0.5796545497889255,10.982483649999999,0.8572591170503014
