threshold,consecutive,min_persistence_days,cooldown_days,selector_score_f1,selector_score_recall,selector_score_precision,selector_false_alarms_per_year,selector_min_recall,selector_std_f1,test_f1,test_recall,test_precision,test_false_alarms_per_year,test_median_lead_days,test_events_with_alert
0.3,1,0,0,0.11437581956546079,0.8333333333121461,0.061896251234479865,51.90962277056013,0.0,0.06496040880092879,0.07934131728895688,0.9999999999811321,0.04130943102101223,51.91558441558441,370.03664351851853,2
0.3,1,0,10,0.02358173721807606,0.019103055856112206,0.03162210338579512,2.65230489643852,0.0,0.018239143124069167,0.03448275812381094,0.03773584905589178,0.03174603174552784,2.5746753246753245,370.03664351851853,2
0.3,1,0,20,0.029458633933524613,0.02118722285597312,0.05359237711828454,1.3553079274067936,0.0,0.016832561422358713,0.0,0.0,0.0,1.3928571428571428,370.03664351851853,2
0.3,1,0,30,0.015330520283013111,0.010387488328250828,0.033670033666598646,0.9084637462894604,0.0,0.024749472020674696,0.05263157852389198,0.03773584905589178,0.08695652173534972,0.8863636363636364,370.03664351851853,2
0.3,1,7,0,0.11278685658821719,0.7850140055819,0.06135807133556164,49.4467304267713,0.0,0.06217731003785137,0.08294209694697185,0.9999999999811321,0.04326530612241366,49.467532467532465,346.03678819444445,2
0.3,1,7,10,0.021245993161539262,0.01731575557015047,0.02828181003486989,2.5318162387243768,0.0,0.018825121745579612,0.03508771880009234,0.03773584905589178,0.032786885245364154,2.49025974025974,346.03678819444445,2
0.3,1,7,20,0.015192551099446408,0.009849354375694843,0.03472222221976273,1.280361998568713,0.0,0.015565680620710001,0.02352941129467129,0.01886792452794589,0.03124999999902344,1.3084415584415583,346.03678819444445,2
0.3,1,7,30,0.010629665597055955,0.006516021042428176,0.03030303030027548,0.893370253463727,0.0,0.01550416120310702,0.05333333291733334,0.03773584905589178,0.09090909090495868,0.8441558441558441,346.03678819444445,2
0.3,1,14,0,0.11340189107851446,0.7474489795721647,0.06214220798846052,46.819669954704715,0.0,0.06175998113130307,0.08400646195344906,0.9811320754531863,0.04388185654004736,47.82142857142857,340.0368344907407,2
0.3,1,14,10,0.012107597065690109,0.009185674269535758,0.018067914966586596,2.4715738865505297,0.0,0.012254397614216575,0.03603603553640128,0.03773584905589178,0.03448275862009513,2.3636363636363633,340.0368344907407,2
0.3,1,14,20,0.010504549100012235,0.006734693877414939,0.024305555553747107,1.282293392367494,0.0,0.014861891616846713,0.0,0.0,0.0,1.3084415584415583,340.0368344907407,2
0.3,1,14,30,0.004273504236138506,0.002450980392120819,0.016666666665,0.8618647791316748,0.0,0.009555845974139015,0.027027026619795485,0.01886792452794589,0.04761904761678005,0.8441558441558441,340.0368344907407,2
0.3,1,21,0,0.11192544327671584,0.7079831932583743,0.06174343590456386,44.74633127800674,0.0,0.06066618532148856,0.08595041313923228,0.9811320754531863,0.044943820224680256,46.63961038961039,340.0368344907407,2
0.3,1,21,10,0.012800336807772053,0.009849354375694843,0.018945884200030943,2.3815865732721577,0.0,0.013024799268139547,0.03636363586363637,0.03773584905589178,0.03508771929763004,2.321428571428571,340.0368344907407,2
0.3,1,21,20,0.019196329730727265,0.013720821661517493,0.03782051281762847,1.2354249562998025,0.0,0.02187247735441005,0.0,0.0,0.0,1.2662337662337662,340.0368344907407,2
0.3,1,21,30,0.004273504236138506,0.002450980392120819,0.016666666665,0.8618647791316748,0.0,0.009555845974139015,0.027027026619795485,0.01886792452794589,0.04761904761678005,0.8441558441558441,340.0368344907407,2
0.3,2,0,0,0.11478165042073729,0.8333333333121461,0.06213610056474087,51.72970926435849,0.0,0.06523919050173893,0.07957957950304695,0.9999999999811321,0.04143862392490896,51.746753246753244,346.03678819444445,2
0.3,2,0,10,0.02380740214817627,0.019103055856112206,0.03239267676661573,2.5918916636934193,0.0,0.01844135957189658,0.03508771880009234,0.03773584905589178,0.032786885245364154,2.49025974025974,346.03678819444445,2
0.3,2,0,20,0.016189463371722414,0.010799734527722296,0.033041101053593,1.325624086657379,0.0,0.016251357915639298,0.02352941129467129,0.01886792452794589,0.03124999999902344,1.3084415584415583,346.03678819444445,2
0.3,2,0,30,0.010629665597055955,0.006516021042428176,0.03030303030027548,0.893370253463727,0.0,0.01550416120310702,0.05333333291733334,0.03773584905589178,0.09090909090495868,0.8441558441558441,346.03678819444445,2
0.3,2,7,0,0.11278685658821719,0.7850140055819,0.06135807133556164,49.4467304267713,0.0,0.06217731003785137,0.08294209694697185,0.9999999999811321,0.04326530612241366,49.467532467532465,346.03678819444445,2
0.3,2,7,10,0.021245993161539262,0.01731575557015047,0.02828181003486989,2.5318162387243768,0.0,0.018825121745579612,0.03508771880009234,0.03773584905589178,0.032786885245364154,2.49025974025974,346.03678819444445,2
0.3,2,7,20,0.015192551099446408,0.009849354375694843,0.03472222221976273,1.280361998568713,0.0,0.015565680620710001,0.02352941129467129,0.01886792452794589,0.03124999999902344,1.3084415584415583,346.03678819444445,2
0.3,2,7,30,0.010629665597055955,0.006516021042428176,0.03030303030027548,0.893370253463727,0.0,0.01550416120310702,0.05333333291733334,0.03773584905589178,0.09090909090495868,0.8441558441558441,346.03678819444445,2
0.3,2,14,0,0.11340189107851446,0.7474489795721647,0.06214220798846052,46.819669954704715,0.0,0.06175998113130307,0.08400646195344906,0.9811320754531863,0.04388185654004736,47.82142857142857,340.0368344907407,2
0.3,2,14,10,0.012107597065690109,0.009185674269535758,0.018067914966586596,2.4715738865505297,0.0,0.012254397614216575,0.03603603553640128,0.03773584905589178,0.03448275862009513,2.3636363636363633,340.0368344907407,2
0.3,2,14,20,0.010504549100012235,0.006734693877414939,0.024305555553747107,1.282293392367494,0.0,0.014861891616846713,0.0,0.0,0.0,1.3084415584415583,340.0368344907407,2
0.3,2,14,30,0.004273504236138506,0.002450980392120819,0.016666666665,0.8618647791316748,0.0,0.009555845974139015,0.027027026619795485,0.01886792452794589,0.04761904761678005,0.8441558441558441,340.0368344907407,2
0.3,2,21,0,0.11192544327671584,0.7079831932583743,0.06174343590456386,44.74633127800674,0.0,0.06066618532148856,0.08595041313923228,0.9811320754531863,0.044943820224680256,46.63961038961039,340.0368344907407,2
0.3,2,21,10,0.012800336807772053,0.009849354375694843,0.018945884200030943,2.3815865732721577,0.0,0.013024799268139547,0.03636363586363637,0.03773584905589178,0.03508771929763004,2.321428571428571,340.0368344907407,2
0.3,2,21,20,0.019196329730727265,0.013720821661517493,0.03782051281762847,1.2354249562998025,0.0,0.02187247735441005,0.0,0.0,0.0,1.2662337662337662,340.0368344907407,2
0.3,2,21,30,0.004273504236138506,0.002450980392120819,0.016666666665,0.8618647791316748,0.0,0.009555845974139015,0.027027026619795485,0.01886792452794589,0.04761904761678005,0.8441558441558441,340.0368344907407,2
0.3,3,0,0,0.11519095551484622,0.8333333333121461,0.06237819550194281,51.549795758156854,0.0,0.06552110969201605,0.0798192770316798,0.9999999999811321,0.04156862745094779,51.577922077922075,340.03668981481485,2
0.3,3,0,10,0.023938161800658487,0.019103055856112206,0.03289670902464823,2.54651981538861,0.0,0.018513620416586517,0.03539822958978778,0.03773584905589178,0.03333333333277778,2.448051948051948,340.03668981481485,2
0.3,3,0,20,0.020157717288483562,0.013250714919843115,0.043457767719608624,1.29572842882876,0.0,0.014640834230721479,0.0,0.0,0.0,1.3084415584415583,340.03668981481485,2
0.3,3,0,30,0.010629665597055955,0.006516021042428176,0.03030303030027548,0.893370253463727,0.0,0.01550416120310702,0.05405405364609205,0.03773584905589178,0.0952380952335601,0.801948051948052,340.03668981481485,2
0.3,3,7,0,0.11292887471147196,0.7850140055819,0.06144250998291038,49.3863171940262,0.0,0.06225335171799437,0.0830721002337278,0.9999999999811321,0.04333605887159171,49.383116883116884,340.03668981481485,2
0.3,3,7,10,0.021410762442270265,0.01731575557015047,0.028819444443436776,2.5002010041761817,0.0,0.01906159002994401,0.03539822958978778,0.03773584905589178,0.03333333333277778,2.448051948051948,340.03668981481485,2
0.3,3,7,20,0.015296978837378558,0.009849354375694843,0.035416666664117476,1.2648858080925225,0.0,0.015700323362439362,0.0,0.0,0.0,1.3084415584415583,340.03668981481485,2
0.3,3,7,30,0.010629665597055955,0.006516021042428176,0.03030303030027548,0.893370253463727,0.0,0.01550416120310702,0.05405405364609205,0.03773584905589178,0.0952380952335601,0.801948051948052,340.03668981481485,2
