event_id,dataset,date,disp_mm,n_pairs
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-03-19,-29.70741923723096,4
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-03-25,-23.424692468032838,2
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-03-31,11.25511668681576,4
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-04-06,45.81130774198018,2
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-04-12,36.07347101304512,4
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-04-18,37.566054465417054,2
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-04-24,-22.019452749059436,4
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-04-30,-70.41931596956573,2
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-05-06,-47.72164397704172,4
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-05-12,-40.947318411986316,2
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,2018-05-18,29.394496624809516,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2017-12-13,-29.721922034027738,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2017-12-25,-16.96243133058878,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2017-12-30,-23.52718500605758,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2017-12-31,-6.307201357591902,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-06,4.667012223859397,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-11,-55.579135660806024,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-17,-37.036746081315634,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-23,-27.69531070759265,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-24,16.23815809945975,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-29,9.186077598409172,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-01-30,32.33860438808114,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-04,-57.75076231935897,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-05,44.207641479582634,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-10,-93.71032535692392,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-16,-153.67831079943278,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-17,33.40514594018672,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-22,-51.12445520676299,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-02-28,-57.866864720783,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-01,-48.37696232192685,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-06,69.41825128600132,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-12,5.99265240598128,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-18,-12.840260109399686,1
