event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-07-15 22:59:40+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240715T225940Z_v1.0_20250811T165315Z_BROWSE.png,444596224,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-07-03 22:59:40+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240703T225940Z_v1.0_20250811T165315Z_BROWSE.png,444596224,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-06-21 22:59:41+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240621T225941Z_v1.0_20250811T165315Z_BROWSE.png,440401920,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-06-09 22:59:41+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240609T225941Z_v1.0_20250811T165315Z_BROWSE.png,440401920,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-05-28 22:59:42+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240528T225942Z_v1.0_20250811T165315Z_BROWSE.png,440401920,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-05-16 22:59:42+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240516T225942Z_v1.0_20250811T165315Z_BROWSE.png,427819008,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-05-04 22:59:42+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240504T225942Z_v1.0_20250811T165315Z_BROWSE.png,440401920,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-04-22 22:59:42+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240422T225942Z_v1.0_20250811T165315Z_BROWSE.png,436207616,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-07-27 22:59:39+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240727T225939Z_v1.0_20250811T165315Z_BROWSE.png,440401920,106,28222.0,ASCENDING,
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z,OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z.nc,2023-11-30 22:59:44+00:00,2024-02-22 22:59:41+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z/OPERA_L3_DISP-S1_IW_F28222_VV_20231130T225944Z_20240222T225941Z_v1.0_20250811T165315Z_BROWSE.png,448790528,106,28222.0,ASCENDING,
