event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1,S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1.nc,2024-03-05 22:59:31+00:00,2024-03-05 23:00:22+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230721-225956-00078W_00041N-PP-9b35-v3_0_1.png,143342491,106,16420,ASCENDING,"[52853, 49528]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1,S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1.nc,2024-03-05 22:59:31+00:00,2024-03-05 23:00:22+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20240129-225956-00078W_00041N-PP-7d2d-v3_0_1.png,142440892,106,16420,ASCENDING,"[52853, 52328]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1,S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1.nc,2024-03-05 22:59:31+00:00,2024-03-05 23:00:22+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230826-225956-00078W_00041N-PP-c828-v3_0_1.png,143050848,106,16420,ASCENDING,"[52853, 50053]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1,S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1.nc,2024-03-05 22:59:31+00:00,2024-03-05 23:00:22+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1/S1-GUNW-A-R-106-tops-20240305_20230907-225956-00078W_00041N-PP-a325-v3_0_1.png,142650805,106,16420,ASCENDING,"[52853, 50228]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240305-225932-00077W_00039N-PP-07a8-v3_0_1.png,138966250,106,16419,ASCENDING,"[53028, 52853]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240222-225932-00077W_00039N-PP-9208-v3_0_1.png,140872862,106,16419,ASCENDING,"[53028, 52678]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230826-225932-00077W_00039N-PP-93c5-v3_0_1.png,141627542,106,16419,ASCENDING,"[53028, 50053]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230919-225932-00077W_00039N-PP-d54b-v3_0_1.png,141921565,106,16419,ASCENDING,"[53028, 50403]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20230907-225932-00077W_00039N-PP-7877-v3_0_1.png,140757799,106,16419,ASCENDING,"[53028, 50228]"
2024-12-16,"Park Place, Schuylkill County",40.8354,-76.1558,Mine Subsidence,75x45 ft hole swallowed an in-ground pool; 10 yards from a 2016 event.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1,S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1.nc,2024-03-17 22:59:06+00:00,2024-03-17 22:59:58+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1/S1-GUNW-A-R-106-tops-20240317_20240210-225932-00077W_00039N-PP-5c52-v3_0_1.png,139265455,106,16419,ASCENDING,"[53028, 52503]"
