event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z.nc,2019-03-20 22:59:12+00:00,2019-09-04 22:59:21+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190904T225921Z_v1.0_20250809T042659Z_BROWSE.png,436207616,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z.nc,2019-03-20 22:59:12+00:00,2019-09-16 22:59:21+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190320T225912Z_20190916T225921Z_v1.0_20250809T042659Z_BROWSE.png,436207616,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0,OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0.h5,2019-09-04 22:59:33+00:00,2019-09-04 22:59:36+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0.h5,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225773-IW2_20190904T225933Z_20250913T153138Z_S1A_30_v1.0_BROWSE.png,102368,106,,ASCENDING,28878.0
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T106-225773-IW2_20190904T225933Z_20240430T174004Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T106-225773-IW2_20190904T225933Z_20240430T174004Z_S1A_VV_v1.1.h5,2019-09-04 22:59:33+00:00,2019-09-04 22:59:36+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T106-225773-IW2_20190904T225933Z_20240430T174004Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T106-225773-IW2_20190904T225933Z_20240430T174004Z_S1A_VV_v1.1_BROWSE.png,272484149,106,,ASCENDING,28878.0
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2020-03-14 22:59:18+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200314T225918Z_v1.0_20250809T121909Z_BROWSE.png,461373440,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2020-03-26 22:59:19+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200326T225919Z_v1.0_20250809T121909Z_BROWSE.png,448790528,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2019-12-09 22:59:21+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191209T225921Z_v1.0_20250809T121909Z_BROWSE.png,461373440,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2020-05-13 22:59:21+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200513T225921Z_v1.0_20250809T121909Z_BROWSE.png,444596224,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2020-05-01 22:59:20+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20200501T225920Z_v1.0_20250809T121909Z_BROWSE.png,452984832,106,28222.0,ASCENDING,
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z,OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z.nc,2019-09-16 22:59:21+00:00,2019-11-27 22:59:21+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z/OPERA_L3_DISP-S1_IW_F28222_VV_20190916T225921Z_20191127T225921Z_v1.0_20250809T121909Z_BROWSE.png,457179136,106,28222.0,ASCENDING,
