event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit,event_id
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138,S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138.zip,2020-01-27 22:45:15+00:00,2020-01-27 22:53:51+00:00,https://datapool.asf.alaska.edu/OCN/SB/S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138.zip,,20905603,33,68,DESCENDING,20009,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138,S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138.iso.xml,2020-01-27 22:45:15+00:00,2020-01-27 22:53:51+00:00,https://datapool.asf.alaska.edu/METADATA_OCN/SB/S1B_WV_OCN__2SSV_20200127T224515_20200127T225351_020009_025DAE_B138.iso.xml,,56089,33,68,DESCENDING,20009,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E,S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E.iso.xml,2020-02-07 22:59:06+00:00,2020-02-07 22:59:38+00:00,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E.iso.xml,,41599,106,127,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E,S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E.zip,2020-02-07 22:59:06+00:00,2020-02-07 22:59:38+00:00,https://datapool.asf.alaska.edu/RAW/SA/S1A_IW_RAW__0SDV_20200207T225906_20200207T225938_031153_0394CE_629E.zip,,1625298411,106,127,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608,S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.zip,2020-02-07 22:59:09+00:00,2020-02-07 22:59:34+00:00,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.zip,https://datapool.asf.alaska.edu/BROWSE/SA/S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.jpg,1045459130,106,128,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608,S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.iso.xml,2020-02-07 22:59:09+00:00,2020-02-07 22:59:34+00:00,https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.iso.xml,https://datapool.asf.alaska.edu/BROWSE/SA/S1A_IW_GRDH_1SDV_20200207T225909_20200207T225934_031153_0394CE_0608.jpg,59062,106,128,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB,S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB.iso.xml,2020-02-07 22:59:09+00:00,2020-02-07 22:59:35+00:00,https://datapool.asf.alaska.edu/METADATA_SLC/SA/S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB.iso.xml,,68104,106,128,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB,S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB.zip,2020-02-07 22:59:09+00:00,2020-02-07 22:59:35+00:00,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200207T225909_20200207T225935_031153_0394CE_F1CB.zip,,4813661880,106,128,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61,S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61.iso.xml,2020-02-07 22:59:31+00:00,2020-02-07 23:00:03+00:00,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61.iso.xml,,41599,106,132,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
2020-08-28,"Packer Twp, Carbon County",40.9144,-75.8992,Tunnel Subsidence,Quakake Tunnel roof collapse caused surface depression.,SENTINEL1_SLC,S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61,S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61.zip,2020-02-07 22:59:31+00:00,2020-02-07 23:00:03+00:00,https://datapool.asf.alaska.edu/RAW/SA/S1A_IW_RAW__0SDV_20200207T225931_20200207T230003_031153_0394CE_8E61.zip,,1566558990,106,132,ASCENDING,31153,2020-08-28_packer_twp_carbon_county
