event_id,dataset,row_count,missing_scene_name,missing_start_time,missing_stop_time,missing_url,duplicate_scene_name,manifest_exists
2018-03-01_west_whiteland_chester,ARIA_S1_GUNW,0,,,,,,False
2018-03-01_west_whiteland_chester,OPERA_S1_DISP,0,,,,,,False
2018-03-01_west_whiteland_chester,SENTINEL1_SLC,0,,,,,,False
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,0,,,,,,False
2018-07-26_codorus_creek_york,OPERA_S1_DISP,0,,,,,,False
2018-07-26_codorus_creek_york,SENTINEL1_SLC,0,,,,,,False
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,0,,,,,,False
2018-08-10_tanger_outlets_lancaster,OPERA_S1_DISP,0,,,,,,False
2018-08-10_tanger_outlets_lancaster,SENTINEL1_SLC,0,,,,,,False
2020-08-28_packer_twp_carbon_county,ARIA_S1_GUNW,0,,,,,,False
2020-08-28_packer_twp_carbon_county,OPERA_S1_DISP,0,,,,,,False
2020-08-28_packer_twp_carbon_county,SENTINEL1_SLC,250,0.0,0.0,0.0,0.0,125.0,True
2023-08-16_eisenhower_parking_deck_penn_state,ARIA_S1_GUNW,0,,,,,,False
2023-08-16_eisenhower_parking_deck_penn_state,OPERA_S1_DISP,0,,,,,,False
2023-08-16_eisenhower_parking_deck_penn_state,SENTINEL1_SLC,0,,,,,,False
2023-10-30_130_sickler_hill_rd_luzerne,ARIA_S1_GUNW,0,,,,,,False
2023-10-30_130_sickler_hill_rd_luzerne,OPERA_S1_DISP,0,,,,,,False
2023-10-30_130_sickler_hill_rd_luzerne,SENTINEL1_SLC,222,0.0,0.0,0.0,0.0,111.0,True
2024-12-02_marguerite_westmoreland_county,ARIA_S1_GUNW,0,,,,,,False
2024-12-02_marguerite_westmoreland_county,OPERA_S1_DISP,0,,,,,,False
2024-12-02_marguerite_westmoreland_county,SENTINEL1_SLC,0,,,,,,False
2024-12-16_park_place_schuylkill_county,ARIA_S1_GUNW,0,,,,,,False
2024-12-16_park_place_schuylkill_county,OPERA_S1_DISP,0,,,,,,False
2024-12-16_park_place_schuylkill_county,SENTINEL1_SLC,0,,,,,,False
