event_id,split,dataset,manifest_exists,manifest_readable,row_count,parse_ok,within_window,window_start_expected,window_end_expected,start_min,start_max
2018-03-01_west_whiteland_chester,train,ARIA_S1_GUNW,False,False,0,False,False,2017-03-01,2018-06-01,,
2018-03-01_west_whiteland_chester,train,OPERA_S1_DISP,False,False,0,False,False,2017-03-01,2018-06-01,,
2018-03-01_west_whiteland_chester,train,SENTINEL1_SLC,False,False,0,False,False,2017-03-01,2018-06-01,,
2018-07-26_codorus_creek_york,train,ARIA_S1_GUNW,False,False,0,False,False,2017-07-26,2018-10-26,,
2018-07-26_codorus_creek_york,train,OPERA_S1_DISP,False,False,0,False,False,2017-07-26,2018-10-26,,
2018-07-26_codorus_creek_york,train,SENTINEL1_SLC,False,False,0,False,False,2017-07-26,2018-10-26,,
2018-08-10_tanger_outlets_lancaster,train,ARIA_S1_GUNW,False,False,0,False,False,2017-08-10,2018-11-10,,
2018-08-10_tanger_outlets_lancaster,train,OPERA_S1_DISP,False,False,0,False,False,2017-08-10,2018-11-10,,
2018-08-10_tanger_outlets_lancaster,train,SENTINEL1_SLC,False,False,0,False,False,2017-08-10,2018-11-10,,
2020-08-28_packer_twp_carbon_county,train,ARIA_S1_GUNW,False,False,0,False,False,2019-08-28,2020-11-28,,
2020-08-28_packer_twp_carbon_county,train,OPERA_S1_DISP,False,False,0,False,False,2019-08-28,2020-11-28,,
2020-08-28_packer_twp_carbon_county,train,SENTINEL1_SLC,True,True,250,True,True,2019-08-28,2020-11-28,2020-01-15 22:45:15+00:00,2020-11-22 22:45:18+00:00
2023-08-16_eisenhower_parking_deck_penn_state,train,ARIA_S1_GUNW,False,False,0,False,False,2022-08-16,2023-11-16,,
2023-08-16_eisenhower_parking_deck_penn_state,train,OPERA_S1_DISP,False,False,0,False,False,2022-08-16,2023-11-16,,
2023-08-16_eisenhower_parking_deck_penn_state,train,SENTINEL1_SLC,False,False,0,False,False,2022-08-16,2023-11-16,,
2023-10-30_130_sickler_hill_rd_luzerne,train,ARIA_S1_GUNW,False,False,0,False,False,2022-10-30,2024-01-30,,
2023-10-30_130_sickler_hill_rd_luzerne,train,OPERA_S1_DISP,False,False,0,False,False,2022-10-30,2024-01-30,,
2023-10-30_130_sickler_hill_rd_luzerne,train,SENTINEL1_SLC,True,True,222,True,True,2022-10-30,2024-01-30,2022-10-30 22:59:52+00:00,2024-01-29 22:59:57+00:00
2024-12-02_marguerite_westmoreland_county,train,ARIA_S1_GUNW,False,False,0,False,False,2023-12-02,2025-03-02,,
2024-12-02_marguerite_westmoreland_county,train,OPERA_S1_DISP,False,False,0,False,False,2023-12-02,2025-03-02,,
2024-12-02_marguerite_westmoreland_county,train,SENTINEL1_SLC,False,False,0,False,False,2023-12-02,2025-03-02,,
2024-12-16_park_place_schuylkill_county,train,ARIA_S1_GUNW,False,False,0,False,False,2023-12-16,2025-03-16,,
2024-12-16_park_place_schuylkill_county,train,OPERA_S1_DISP,False,False,0,False,False,2023-12-16,2025-03-16,,
2024-12-16_park_place_schuylkill_county,train,SENTINEL1_SLC,False,False,0,False,False,2023-12-16,2025-03-16,,
