event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T004-006677-IW3_20170814T230713Z_20240629T101059Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T004-006677-IW3_20170814T230713Z_20240629T101059Z_S1A_VV_v1.1.h5,2017-08-14 23:07:13+00:00,2017-08-14 23:07:16+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T004-006677-IW3_20170814T230713Z_20240629T101059Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T004-006677-IW3_20170814T230713Z_20240629T101059Z_S1A_VV_v1.1_BROWSE.png,239404928,4,,ASCENDING,17926.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T106-225768-IW1_20170821T225904Z_20240428T160136Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T106-225768-IW1_20170821T225904Z_20240428T160136Z_S1A_VV_v1.1.h5,2017-08-21 22:59:04+00:00,2017-08-21 22:59:08+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T106-225768-IW1_20170821T225904Z_20240428T160136Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T106-225768-IW1_20170821T225904Z_20240428T160136Z_S1A_VV_v1.1_BROWSE.png,260972860,106,,ASCENDING,18028.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0,OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0.h5,2017-08-21 22:59:04+00:00,2017-08-21 22:59:08+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0.h5,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225768-IW1_20170821T225904Z_20250923T074637Z_S1A_30_v1.0_BROWSE.png,101560,106,,ASCENDING,18028.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0,OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0.h5,2017-08-26 23:07:14+00:00,2017-08-26 23:07:17+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0.h5,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T004-006677-IW3_20170826T230714Z_20250923T145903Z_S1A_30_v1.0_BROWSE.png,99064,4,,ASCENDING,18101.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T004-006677-IW3_20170826T230714Z_20240629T131226Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T004-006677-IW3_20170826T230714Z_20240629T131226Z_S1A_VV_v1.1.h5,2017-08-26 23:07:14+00:00,2017-08-26 23:07:17+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T004-006677-IW3_20170826T230714Z_20240629T131226Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T004-006677-IW3_20170826T230714Z_20240629T131226Z_S1A_VV_v1.1_BROWSE.png,239221406,4,,ASCENDING,18101.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0,OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0.h5,2017-09-02 22:59:05+00:00,2017-09-02 22:59:08+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0.h5,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L2_RTC-S1/OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T106-225768-IW1_20170902T225905Z_20250923T152026Z_S1A_30_v1.0_BROWSE.png,101560,106,,ASCENDING,18203.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L2_CSLC-S1_T106-225768-IW1_20170902T225905Z_20240428T192636Z_S1A_VV_v1.1,OPERA_L2_CSLC-S1_T106-225768-IW1_20170902T225905Z_20240428T192636Z_S1A_VV_v1.1.h5,2017-09-02 22:59:05+00:00,2017-09-02 22:59:08+00:00,https://datapool.asf.alaska.edu/CSLC/OPERA-S1/OPERA_L2_CSLC-S1_T106-225768-IW1_20170902T225905Z_20240428T192636Z_S1A_VV_v1.1.h5,https://datapool.asf.alaska.edu/BROWSE/OPERA-S1/OPERA_L2_CSLC-S1_T106-225768-IW1_20170902T225905Z_20240428T192636Z_S1A_VV_v1.1_BROWSE.png,260890077,106,,ASCENDING,18203.0
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z.nc,2017-09-14 22:58:46+00:00,2018-03-01 22:58:44+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20180301T225844Z_v1.0_20250808T140309Z_BROWSE.png,457179136,106,28221.0,ASCENDING,
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z.nc,2017-09-14 22:58:46+00:00,2017-11-25 22:58:46+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171125T225846Z_v1.0_20250808T140309Z_BROWSE.png,452984832,106,28221.0,ASCENDING,
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,OPERA_S1_DISP,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z,OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z.nc,2017-09-14 22:58:46+00:00,2017-12-07 22:58:46+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/OPERA/OPERA_L3_DISP-S1_V1/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z/OPERA_L3_DISP-S1_IW_F28221_VV_20170914T225846Z_20171207T225846Z_v1.0_20250808T140309Z_BROWSE.png,457179136,106,28221.0,ASCENDING,
