event_date,location,latitude,longitude,cause,notes,dataset,scene_name,file_name,start_time,stop_time,url,browse_url,bytes,path_number,frame_number,flight_direction,orbit
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0,S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0.nc,2018-07-28 23:07:04+00:00,2018-07-28 23:07:56+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20171224-230730-00080W_00040N-PP-d987-v3_0_0.png,103456844,4,497.0,ASCENDING,"[23001, 19851]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0,S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0.nc,2018-07-28 23:07:04+00:00,2018-07-28 23:07:56+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180622-230730-00080W_00040N-PP-ab94-v3_0_0.png,105419970,4,497.0,ASCENDING,"[23001, 22476]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0,S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0.nc,2018-07-28 23:07:04+00:00,2018-07-28 23:07:56+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180105-230730-00080W_00040N-PP-583c-v3_0_0.png,102114910,4,497.0,ASCENDING,"[23001, 20026]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0,S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0.nc,2018-07-28 23:07:04+00:00,2018-07-28 23:07:56+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0/S1-GUNW-A-R-004-tops-20180728_20180129-230730-00080W_00040N-PP-83c0-v3_0_0.png,103296028,4,497.0,ASCENDING,"[23001, 20376]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180112-225904-00077W_00039N-PP-a264-v3_0_0.png,103724626,106,16419.0,ASCENDING,"[23103, 20128]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180124-225904-00077W_00039N-PP-5ff2-v3_0_0.png,103260761,106,16419.0,ASCENDING,"[23103, 20303]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180205-225904-00077W_00039N-PP-31d2-v3_0_0.png,103559193,106,16419.0,ASCENDING,"[23103, 20478]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180629-225904-00077W_00039N-PP-5b2f-v3_0_0.png,104599750,106,16419.0,ASCENDING,"[23103, 22578]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180711-225904-00077W_00039N-PP-80e3-v3_0_0.png,103822361,106,16419.0,ASCENDING,"[23103, 22753]"
2018-08-10,"Tanger Outlets, Lancaster",40.0305,-76.2164,Stormwater Failure,Massive hole buried 6 cars; investigation cited failed plastic modular crate system.,ARIA_S1_GUNW,S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0,S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0.nc,2018-08-04 22:58:38+00:00,2018-08-04 22:59:30+00:00,https://cumulus.asf.earthdatacloud.nasa.gov/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0.nc,https://cumulus.asf.earthdatacloud.nasa.gov/BROWSE/ARIA/ARIA_S1_GUNW/S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0/S1-GUNW-A-R-106-tops-20180804_20180723-225904-00077W_00039N-PP-8e5a-v3_0_0.png,104362720,106,16419.0,ASCENDING,"[23103, 22928]"
